TÌtulo;Autor;ISBN;ISBN13;Rating;Formato;Numero de Paginas;Ano publicacao original;Data Inicio;Data TÈrmino; Coluna1 ;Idioma;Status;Carregado
O Processo;Franz Kafka;"=""9896600090""";"=""9789896600099""";10;Livro FÌsico;266;1925;27/05/2018;31/05/2018; 4 ;PortuguÍs;lido;
1348 - A Peste Negra ;JosÈ Martino;"=""""";"=""""";40;Kindle;109;2017;26/05/2018;27/05/2018; 1 ;PortuguÍs;lido;
Joyland;Stephen  King;"=""""";"=""""";40;Kindle;224;2013;19/05/2018;26/05/2018; 7 ;PortuguÍs;lido;
GovernanÁa de TI: Como as empresas com melhor desempenho administram os direitos decisÛrios de TI na busca por resultados superiores;Peter Weill;"=""8589384780""";"=""9788589384780""";20;Livro FÌsico;290;2004;13/05/2018;19/05/2018; 6 ;PortuguÍs;lido;
Como era Verde o Meu Vale;Richard Llewellyn;"=""""";"=""""";50;Livro FÌsico;390;1939;03/05/2018;13/05/2018; 10 ;PortuguÍs;lido;
Sobre a morte e o morrer: O que os doentes terminais tÍm para ensinar a mÈdicos, enfermeiras, relogiosos e aos seus prÛprios parentes ;Elisabeth KÛbler-Ross;"=""854690121X""";"=""9788546901210""";40;Kindle;340;1969;29/04/2018;03/05/2018; 4 ;PortuguÍs;lido;
Os cinco porquinhos (Hercule Poirot, #25);Agatha Christie;"=""8525057649""";"=""9788525057648""";40;Kindle;253;1942;27/04/2018;29/04/2018; 2 ;PortuguÍs;lido;
End of Watch (Bill Hodges Trilogy, #3);Stephen  King;"=""1501134132""";"=""9781501134135""";30;Livro FÌsico;482;2016;17/04/2018;27/04/2018; 10 ;InglÍs;lido;
AstrofÌsica Para Apressados;Neil deGrasse Tyson;"=""8542210999""";"=""9788542210996""";40;Livro FÌsico;192;2017;15/04/2018;17/04/2018; 2 ;PortuguÍs;lido;
A sutil arte de ligar o f*da-se: Uma estratÈgia inusitada para uma vida melhor;Mark Manson;"=""855100249X""";"=""""";30;Kindle;190;2016;14/04/2018;15/04/2018; 1 ;PortuguÍs;lido;
Finders Keepers (Bill Hodges Trilogy, #2);Stephen  King;"=""""";"=""""";40;Livro FÌsico;528;2015;08/04/2018;14/04/2018; 6 ;InglÍs;lido;
Holocausto brasileiro: Vida, genocÌdio e 60 mil mortes no maior hospÌcio do Brasil;Daniela Arbex;"=""8581301576""";"=""9788581301570""";40;Livro FÌsico;256;2013;08/04/2018;14/04/2018; 6 ;PortuguÍs;lido;
A Startup Enxuta: como os empreendedores atuais utilizam a inovaÁ„o contÌnua para criar empresas extremamente bem-sucedidas;Eric Ries;"=""8581780040""";"=""9788581780047""";30;Livro FÌsico;288;2011;05/04/2018;08/04/2018; 3 ;PortuguÍs;lido;
Mr. Mercedes;Stephen  King;"=""1501180762""";"=""9781501180767""";40;Livro FÌsico;527;2014;30/03/2018;05/04/2018; 6 ;InglÍs;lido;
Sycamore Row;John Grisham;"=""""";"=""""";40;Kindle;466;2013;23/03/2018;30/03/2018; 7 ;InglÍs;lido;
A Segunda Guerra Mundial;Martin  Gilbert;"=""8577344673""";"=""9788577344673""";40;Livro FÌsico;976;1989;18/02/2018;23/03/2018; 33 ;PortuguÍs;lido;
Apt Pupil;Stephen  King;"=""0751525677""";"=""9780751525670""";40;Livro FÌsico;179;1982;16/02/2018;18/02/2018; 2 ;InglÍs;lido;
As Armas da Persuas„o: Como Influenciar e N„o Se Deixar Influenciar;Robert B. Cialdini;"=""""";"=""""";40;Kindle;335;1984;04/02/2018;16/02/2018; 12 ;PortuguÍs;lido;
Gray Mountain;John Grisham;"=""1101964871""";"=""9781101964873""";30;Livro FÌsico;384;2014;24/01/2018;04/02/2018; 11 ;InglÍs;lido;
A Mente Acima do Dinheiro;Brad Klontz;"=""""";"=""""";20;Livro FÌsico;272;2009;20/01/2018;24/01/2018; 4 ;PortuguÍs;lido;
Origem (Robert Langdon, #5);Dan    Brown;"=""858041766X""";"=""9788580417661""";40;Livro FÌsico;432;2017;13/01/2018;20/01/2018; 7 ;PortuguÍs;lido;
Como organizar sua vida financeira;Gustavo Cerbasi;"=""8543102588""";"=""9788543102580""";30;Livro FÌsico;160;2009;12/01/2018;13/01/2018; 1 ;PortuguÍs;lido;
77 Shadow Street (Pendleton, #1);Dean Koontz;"=""""";"=""""";20;Livro FÌsico;451;2011;29/12/2017;12/01/2018; 14 ;InglÍs;lido;
A Time to Kill;John Grisham;"=""""";"=""""";40;Livro FÌsico;655;1989;22/12/2017;29/12/2017; 7 ;InglÍs;lido;
Johnny Angel;Danielle Steel;"=""0385335490""";"=""9780385335492""";30;Livro FÌsico;192;2003;19/12/2017;22/12/2017; 3 ;PortuguÍs;lido;
E n„o sobrou nenhum;Agatha Christie;"=""8525057665""";"=""9788525057662""";50;Kindle;323;1939;17/12/2017;19/12/2017; 2 ;PortuguÍs;lido;
Best. State. Ever.: A Florida Man Defends His Homeland;Dave Barry;"=""1101982624""";"=""9781101982624""";30;Kindle;240;2016;16/12/2017;17/12/2017; 1 ;PortuguÍs;lido;
Os Irm„os Karam·zov;Fyodor Dostoevsky;"=""8572329412""";"=""9788572329415""";40;Livro FÌsico;976;1879;04/11/2017;16/12/2017; 42 ;PortuguÍs;lido;
Doctor Sleep (The Shining, #2);Stephen  King;"=""1451698860""";"=""9781451698862""";40;Livro FÌsico;672;2013;15/10/2017;03/11/2017; 19 ;InglÍs;lido;
The Chamber;John Grisham;"=""0385339666""";"=""9780385339667""";40;Livro FÌsico;632;1994;01/10/2017;14/10/2017; 13 ;InglÍs;lido;
O Jogador;Fyodor Dostoevsky;"=""8525409308""";"=""9788525409300""";30;Livro FÌsico;242;1866;27/09/2017;01/10/2017; 4 ;PortuguÍs;lido;
Revival;Stephen  King;"=""1501121170""";"=""9781501121173""";30;Livro FÌsico;463;2014;02/09/2017;27/09/2017; 25 ;PortuguÍs;lido;N„o
The Shining (The Shining #1);Stephen  King;"=""""";"=""""";40;Livro FÌsico;659;1977;21/08/2017;02/09/2017; 12 ;InglÍs;lido;
Homo Deus: A Brief History of Tomorrow;Yuval Noah Harari;"=""1784703931""";"=""9781784703936""";30;Livro FÌsico;513;2015;27/07/2017;21/08/2017; 25 ;InglÍs;lido;
Sapiens: Uma breve histÛria da humanidade;Yuval Noah Harari;"=""8525432180""";"=""9788525432186""";40;Livro FÌsico;464;2011;11/07/2017;27/07/2017; 16 ;Portugu s;lido;
As Espi„s do Dia D;Ken Follett;"=""8580414105""";"=""9788580414103""";;Kindle;583;2001;00/01/1900;; -   ;PortuguÍs;lendo;N„o
A F˙ria dos Reis (As CrÙnicas de Gelo e Fogo, #2);George R.R. Martin;"=""8580440270""";"=""9788580440270""";50;Livro FÌsico;656;1998;00/01/1900;; -   ;PortuguÍs;lido;N„o
