TÌtulo;Autor;ISBN;ISBN13;Rating;Formato;Numero de Paginas;Ano publicacao original;Data Inicio;Data TÈrmino; Coluna1 ;Idioma;Status;Carregado
Espere agora pelo ano passado;Philip K. Dick;"=""8556510736""";"=""9788556510730""";20;Livro FÌsico;296;1966;30/03/2023;04/04/2023; 5 ;PortuguÍs;lido;
Suor;Jorge Amado;"=""8535917926""";"=""9788535917925""";30;Livro FÌsico;160;1934;28/03/2023;30/03/2023; 2 ;PortuguÍs;lido;
Cacau;Jorge Amado;"=""8535917268""";"=""9788535917260""";30;Livro FÌsico;184;1933;26/03/2023;28/03/2023; 2 ;PortuguÍs;lido;
O crep˙sculo e a aurora;Ken Follett;"=""6555650184""";"=""9786555650181""";50;Livro FÌsico;704;2020;14/03/2023;26/03/2023; 12 ;PortuguÍs;lido;
A lista do juiz (The Whistler, #2);John Grisham;"=""6555653957""";"=""9786555653953""";30;Livro FÌsico;320;2021;06/03/2023;14/03/2023; 8 ;PortuguÍs;lido;
O SumiÁo Da Santa: Uma histÛria de feitiÁaria;Jorge Amado;"=""8510344477""";"=""9788510344470""";40;Livro FÌsico;438;1988;26/02/2023;06/03/2023; 8 ;PortuguÍs;lido;
O tempo desconjuntado;Philip K. Dick;"=""8556510663""";"=""9788556510662""";30;Livro FÌsico;272;1959;24/02/2023;26/02/2023; 2 ;PortuguÍs;lido;
O Resgate no Mar (Outlander);Diana Gabaldon;"=""8580418224""";"=""9788580418224""";40;Livro FÌsico;992;1993;25/01/2023;24/02/2023; 30 ;PortuguÍs;lido;
O PaÌs do Carnaval;Jorge Amado;"=""8535917985""";"=""9788535917987""";30;Livro FÌsico;176;1930;24/01/2023;25/01/2023; 1 ;PortuguÍs;lido;
O buraco da agulha;Ken Follett;"=""858041881X""";"=""9788580418811""";40;Livro FÌsico;336;1978;20/01/2023;24/01/2023; 4 ;PortuguÍs;lido;
A DanÁa da Morte;Stephen  King;"=""""";"=""""";30;Livro FÌsico;1248;1978;19/12/2022;20/01/2023; 32 ;PortuguÍs;lido;
Eternidade por um Fio (O SÈculo, #3);Ken Follett;"=""8580412919""";"=""9788580412918""";50;Livro FÌsico;1071;2014;04/12/2022;19/12/2022; 15 ;PortuguÍs;lido;
Inverno do Mundo (O SÈculo, #2);Ken Follett;"=""8580410894""";"=""9788580410891""";50;Livro FÌsico;875;2012;06/11/2022;04/12/2022; 28 ;PortuguÍs;lido;
Procure nas Cinzas;Charlie Donlea;"=""6559570282""";"=""9786559570287""";40;Livro FÌsico;356;2021;02/11/2022;06/11/2022; 4 ;PortuguÍs;lido;
¿ Espera de um Milagre;Stephen  King;"=""8581050379""";"=""9788581050379""";50;Livro FÌsico;400;1996;17/10/2022;02/11/2022; 16 ;PortuguÍs;lido;
Casei Com Um Comunista (The American Trilogy, #2);Philip Roth;"=""8535925120""";"=""9788535925128""";30;Livro FÌsico;360;1998;15/09/2022;17/10/2022; 32 ;PortuguÍs;lido;
O Cliente;John Grisham;"=""8532504817""";"=""9788532504814""";40;Livro FÌsico;430;1993;09/09/2022;15/09/2022; 6 ;PortuguÍs;lido;
Escravid„o, Volume 3: Da IndependÍncia do Brasil ‡ Lei ¡urea;Laurentino Gomes;"=""6559870529""";"=""9786559870523""";40;Livro FÌsico;592;2022;18/08/2022;09/09/2022; 22 ;PortuguÍs;lido;
Tocaia Grande - A Face Obscura;Jorge Amado;"=""""";"=""""";40;Livro FÌsico;505;1984;05/08/2022;18/08/2022; 13 ;PortuguÍs;lido;
Deixada Para Tr·s;Charlie Donlea;"=""8595810087""";"=""9788595810082""";30;Livro FÌsico;368;2017;31/07/2022;05/08/2022; 5 ;PortuguÍs;lido;
Queda de Gigantes (O SÈculo, #1);Ken Follett;"=""859929685X""";"=""9788599296851""";50;Livro FÌsico;912;2005;05/07/2022;31/07/2022; 26 ;PortuguÍs;lido;
Jubiab·;Jorge Amado;"=""8535913548""";"=""9788535913545""";30;Livro FÌsico;360;1935;29/06/2022;05/07/2022; 6 ;PortuguÍs;lido;
TraiÁ„o em Veneza (Cotton Malone, #3);Steve Berry;"=""8501087599""";"=""9788501087591""";30;Livro FÌsico;574;2007;24/06/2022;29/06/2022; 5 ;PortuguÍs;lido;
Ponto Cego (Em Portugues do Brasil);Lya Luft;"=""8501066087""";"=""9788501066084""";30;Livro FÌsico;144;1999;23/06/2022;24/06/2022; 1 ;PortuguÍs;lido;
A LibÈlula no ¬mbar (Outlander);Diana Gabaldon;"=""8580417899""";"=""9788580417890""";40;Livro FÌsico;880;1992;11/06/2022;23/06/2022; 12 ;PortuguÍs;lido;
Cartada Final;John Grisham;"=""6555650478""";"=""9786555650471""";40;Livro FÌsico;320;2019;05/06/2022;11/06/2022; 6 ;PortuguÍs;lido;
Mar Morto;Jorge Amado;"=""8535911820""";"=""9788535911824""";50;Livro FÌsico;288;1936;30/05/2022;05/06/2022; 6 ;PortuguÍs;lido;
A MaldiÁ„o;Richard  Bachman;"=""8581050492""";"=""9788581050492""";30;Livro FÌsico;287;1984;13/05/2022;30/05/2022; 17 ;PortuguÍs;lido;
FundaÁ„o (FundaÁ„o, #1);Isaac Asimov;"=""8576571730""";"=""9788576571735""";20;Kindle;288;1951;07/05/2022;13/05/2022; 6 ;PortuguÍs;lido;
